Data,Vento0,Vento1,Vento2,Vento3,Vento4,Vento5,Vento6,Vento7,Vento8,Vento9,Vento10,Vento11,Vento12,Vento13,Vento14,Vento15,Vento16,Vento17,Vento18,Vento19,Vento20,Vento21,Vento22,Vento23
30-JAN-2012,1.6,2.3,2.5,2.1,3.2,3.7,2.6,2.7,1.5,3.0,2.1,1.7,3.0,4.0,3.5,3.7,3.2,5.4,4.1,4.5,4.5,2.7,2.8,2.2
31-JAN-2012,1.5,1.0,0.4,1.4,2.5,3.0,1.5,1.9,1.5,1.0,1.0,2.0,1.2,2.3,3.6,1.9,3.1,1.5,2.8,2.4,0.9,0.8,1.4,0.9
01-FEV-2012,0.9,1.0,3.0,2.3,3.4,1.1,1.5,0.9,1.4,1.4,1.4,2.4,2.7,4.1,3.5,3.4,2.6,2.8,2.8,3.8,2.8,0.8,1.4,0.6
02-FEV-2012,1.0,3.3,1.4,2.6,2.9,3.7,2.7,3.7,2.2,0.8,1.2,1.8,1.7,1.9,3.3,3.8,4.6,2.9,4.3,3.4,4.0,0.7,1.3,1.1
03-FEV-2012,4.3,3.7,4.7,3.9,2.8,2.4,2.1,1.6,2.8,3.2,3.0,4.1,4.4,3.0,2.7,4.0,4.2,3.2,3.7,3.4,3.0,2.2,2.5,1.8
04-FEV-2012,3.8,5.0,3.2,2.7,2.6,1.8,2.3,1.5,2.9,2.3,2.0,4.1,4.0,3.9,3.3,3.1,4.3,3.5,2.8,3.5,3.8,3.2,3.1,3.1
05-FEV-2012,4.8,6.0,3.0,1.8,3.1,3.1,2.6,3.0,2.4,2.7,3.8,2.5,4.6,4.7,4.7,5.2,4.0,4.7,5.7,4.5,4.6,3.6,3.2,3.5
06-FEV-2012,5.0,4.1,3.8,3.2,3.7,1.9,2.4,2.6,1.5,1.8,3.3,3.8,3.6,3.9,3.5,3.7,3.8,4.8,4.0,4.7,2.1,3.4,2.1,2.7
07-FEV-2012,2.6,5.0,3.6,2.9,2.8,2.1,1.9,2.3,2.3,2.1,2.1,3.1,4.4,3.0,3.7,4.6,4.2,3.8,4.4,3.9,4.9,3.7,3.6,3.9
08-FEV-2012,3.5,3.3,3.9,1.9,2.2,1.9,1.8,1.4,0.8,1.3,1.0,2.1,3.1,3.0,2.1,2.3,2.6,3.6,2.9,1.9,2.5,1.3,0.5,1.4
09-FEV-2012,0.6,1.8,1.4,1.2,0.6,2.0,1.0,0.9,2.0,3.1,2.2,1.6,1.8,1.6,2.3,2.9,1.8,2.5,1.3,4.7,4.8,4.4,1.7,3.0
10-FEV-2012,1.3,2.8,1.5,2.2,0.7,1.2,0.6,0.3,0.4,0.4,1.0,0.7,1.1,1.2,1.6,2.3,1.6,1.7,2.0,1.9,0.7,3.0,1.6,1.4
11-FEV-2012,1.6,2.3,1.6,2.6,2.7,1.2,1.1,2.6,1.9,1.5,1.5,2.0,2.0,3.1,2.6,2.3,3.2,2.8,2.8,5.9,2.3,1.1,1.0,1.1
12-FEV-2012,2.6,3.3,0.8,1.0,1.3,1.7,1.2,1.3,1.0,1.3,1.6,2.2,1.5,2.5,2.5,1.6,1.9,2.4,3.4,2.9,3.2,1.2,0.7,0.5
13-FEV-2012,1.3,1.1,1.8,2.5,1.1,1.5,1.0,0.5,0.9,0.7,1.4,2.4,2.4,3.1,2.6,2.1,2.2,1.6,1.5,1.0,2.3,1.3,1.5,1.8
14-FEV-2012,1.7,0.4,1.4,0.7,0.7,0.9,2.0,1.5,0.9,0.6,1.7,3.6,3.7,3.7,3.9,4.6,3.6,4.6,4.8,5.0,5.2,3.8,4.0,5.6
15-FEV-2012,2.7,2.1,1.8,4.0,3.0,3.9,3.1,2.2,1.8,2.8,2.8,2.8,2.9,2.9,2.9,3.5,4.1,5.4,4.8,3.4,3.8,4.1,4.2,2.9
16-FEV-2012,2.7,4.0,4.5,3.2,2.5,3.0,1.6,1.9,2.2,1.6,1.9,3.0,3.7,2.8,4.0,3.0,4.7,2.4,3.5,3.9,2.9,3.0,2.9,3.4
