"","Date","Hour","WindSpeed"
"177",2012-01-08,8,1.6
"178",2012-01-08,9,2.1
"179",2012-01-08,10,2.6
"180",2012-01-08,11,2.8
"181",2012-01-08,12,3.6
"182",2012-01-08,13,3.8
"183",2012-01-08,14,4.4
"184",2012-01-08,15,4.2
"185",2012-01-08,16,2.8
"186",2012-01-08,17,3.9
"187",2012-01-08,18,3.4
"188",2012-01-08,19,5.5
"189",2012-01-08,20,3.8
"190",2012-01-08,21,6.6
"191",2012-01-08,22,1.9
"192",2012-01-08,23,1.9
"193",2012-01-09,0,3.1
"194",2012-01-09,1,3.6
"195",2012-01-09,2,3.1
"196",2012-01-09,3,3.4
"197",2012-01-09,4,2.4
"198",2012-01-09,5,3.7
"199",2012-01-09,6,2.3
"200",2012-01-09,7,2.6
"201",2012-01-09,8,3.4
"202",2012-01-09,9,2.7
"203",2012-01-09,10,3.4
"204",2012-01-09,11,3.2
"205",2012-01-09,12,4
"206",2012-01-09,13,3.6
"207",2012-01-09,14,3.4
"208",2012-01-09,15,3.7
"209",2012-01-09,16,4
"210",2012-01-09,17,2.3
"211",2012-01-09,18,2.8
"212",2012-01-09,19,1.6
"213",2012-01-09,20,5.2
"214",2012-01-09,21,2.8
"215",2012-01-09,22,1.5
"216",2012-01-09,23,1.9
"217",2012-01-10,0,0.8
"218",2012-01-10,1,4.7
"219",2012-01-10,2,3.8
"220",2012-01-10,3,3.2
"221",2012-01-10,4,2.1
"222",2012-01-10,5,2
"223",2012-01-10,6,2.2
"224",2012-01-10,7,2.1
"225",2012-01-10,8,1.8
"226",2012-01-10,9,1.7
"227",2012-01-10,10,2.9
"228",2012-01-10,11,5.4
"229",2012-01-10,12,3.5
"230",2012-01-10,13,2.6
"231",2012-01-10,14,3
"232",2012-01-10,15,3.1
"233",2012-01-10,16,4.1
"234",2012-01-10,17,4.4
"235",2012-01-10,18,3.6
"236",2012-01-10,19,4.1
"237",2012-01-10,20,4.2
"238",2012-01-10,21,0.7
"239",2012-01-10,22,1.1
"240",2012-01-10,23,4.1
"241",2012-01-11,0,4.5
"242",2012-01-11,1,2.7
"243",2012-01-11,2,3.1
"244",2012-01-11,3,3
"245",2012-01-11,4,2.6
"246",2012-01-11,5,3.8
"247",2012-01-11,6,3.5
"248",2012-01-11,7,2.6
"249",2012-01-11,8,2.2
"250",2012-01-11,9,2.6
"251",2012-01-11,10,2.5
"252",2012-01-11,11,4.7
"253",2012-01-11,12,4.3
"254",2012-01-11,13,3.9
"255",2012-01-11,14,3.7
"256",2012-01-11,15,3.1
"257",2012-01-11,16,3.6
"258",2012-01-11,17,2.2
"259",2012-01-11,18,2.2
"260",2012-01-11,19,2.6
"261",2012-01-11,20,3.2
"262",2012-01-11,21,2.8
"263",2012-01-11,22,2.7
"264",2012-01-11,23,5.5
"265",2012-01-12,0,3.2
"266",2012-01-12,1,2.5
"267",2012-01-12,2,2.4
"268",2012-01-12,3,2.2
"269",2012-01-12,4,2.3
"270",2012-01-12,5,1.5
"271",2012-01-12,6,2.4
"272",2012-01-12,7,2.4
"273",2012-01-12,8,2.4
"274",2012-01-12,9,2.5
"275",2012-01-12,10,2.8
"276",2012-01-12,11,3.3
"277",2012-01-12,12,3.6
"278",2012-01-12,13,4.4
"279",2012-01-12,14,2.9
"280",2012-01-12,15,3
"281",2012-01-12,16,2.1
"282",2012-01-12,17,1.3
"283",2012-01-12,18,2.3
"284",2012-01-12,19,1.2
"285",2012-01-12,20,0.7
"286",2012-01-12,21,0.5
"287",2012-01-12,22,1.8
"288",2012-01-12,23,2.6
